name,x,y,z,vx,vy,vz,mass
body116,-13.865718384074178,-0.22089923685569807,-3.544558381475491,6.329786787044742,-2.4254454292068792,0.9887859024317137,2.0241772699759104
body117,1.3168078681403794,-8.320471321433017,4.02247012151358,-5.829268282739707,0.657073962708203,1.4983835094044657,2.8092878383150555
body118,-5.5798058724966415,4.657394237316926,-1.8418698044097916,-2.5357894877328166,-0.4638539744219947,1.3535799848198669,4.297209508348832
body119,-1.8625081753530053,4.652323943880362,-0.0626085739044319,-0.7303156991184909,1.6151070677725459,-2.2898672549840198,0.9198565971797944
body120,-8.166594051172504,0.3768322693073795,1.1619730769374925,-1.0402423500030848,3.589997359119912,-4.399111337733534,3.585634938928298
body121,2.7982633288628476,3.5983234106758673,1.26573484370578,-1.1651570278180465,-5.015274450886732,1.1081344203970325,3.268817423886103
body122,-10.418417751847823,0.2908030114609767,-0.5824911742918788,7.660332194891011,1.307317451732809,-0.3311985775011729,1.3349538647157277
body123,0.294871172123487,5.6823245113651915,0.4187776447051228,-2.5818407286612826,0.5034887911908776,-0.32919245739985975,4.4571673753541
body124,-10.234339303350382,8.733860184124998,-1.1197566161075048,-4.653748630795782,1.015430015546008,-2.330967534167626,3.953598530605483
body125,-11.304574161928802,-7.436355991663601,0.7623905845325174,1.1268080777325102,-4.415615647638848,-0.3045580391333268,4.111094032568615
body126,-11.167190290290785,-5.504492076305966,0.8380965563230188,-1.4547874453613823,-1.6054829203147063,0.8401329787791765,4.9637897563593345
body127,-6.20512435640172,13.660804722003878,-0.7457051965008212,-0.1325676164068347,-4.2193499259124065,2.0169027174649012,2.0445068742511756
body128,-18.351603854606385,3.525524413019968,2.9813265342345527,-5.079616215274341,5.063271005002813,3.711410776125713,2.8424061037157533
body129,-0.7873536506677676,2.104332385403517,-0.3226200951356619,0.6568722211518468,2.6572014039416754,0.5782771363233914,2.755739267253614
body130,2.1347025840219884,-6.744435205002801,4.467189065024271,1.5841935246423613,0.38454696555233714,-0.823002117238445,3.6952790272291467
body131,-0.9593423689573092,-5.303780432932452,-1.3232949149355266,4.442627992973651,0.6401972563590855,0.0033195964838189443,2.962391092163332
body132,9.733026027795324,2.0567011011575964,-3.712510871650879,-4.443039149849018,1.1492856070640942,0.5495827458844499,1.4009645646420765
body133,-14.03090723946787,6.692500510160565,-1.6361597047118208,-5.689604964625892,-2.5428647143189296,-4.0981422813758215,1.849205585580569
body134,-16.230161114679674,4.519470112698143,-5.293347621453532,-6.928702256096264,1.9494713059567326,1.0444140573161356,3.015459802787548
body135,2.3012539917631263,12.468876905534028,-0.16174967773914464,-4.406787660914148,4.904743600783292,-1.3888596187880584,1.2983460878099145
